Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
beja; berita, kabar;iber ; tanggara ; 
bejer; diterangkan sampai jelas betul;dibejer-beaskeun ; dibejer beaskeun ; 
dibejer-beaskeun ; diterangkan sampai jelas betul;bejer ; dibejer beaskeun ; 
beka ; ikan basah yg telah diberi garam dicampur dng nasi kering sedikit; ;  ; 
beker ; sb burung rawa; ;  ; 
beleke ; susah sekali, sukar sekali; ;  ; 
beleketepe ; daun kelapa yg dianyam dibentuk keranjang; ;  ; 
belong ; mesin tempat menggoreng teh di pabrik; ;  ; 
belot ; lebih jauh karena berbelok, berbelok-belok; ;  ; 
bengbar ; dibengbarkeun dibanting ke kiri at ke kanan, dibelokkan dr arah semula (mobil dsb); ;  ; 
bengbat ; kabengbat tergoda, terpengaruh , menyimpang dr tujuan semula; ;  ; 
bengbreng; berderet, berjajar ke samping, mis gunung brengbreng;ngabrengbreng ;  ; 
ngabrengbreng ; berderet, berjajar ke samping, mis gunung brengbreng;bengbreng ;  ; 
bengeh ; terbuka sedikit, mis pintu, jendela, dsb;jandela ; bared ; barera
bengkong ; dukun sunat, ahli khitan;dukun sunat ;  ; 
bengo ; erot, mencong (mulut dsb); ;  ; 
bengras ; terang benderang, jelas;atra ; bentes ; cekas
bentes ; jelas, benar ucapannya;atra ; bengras ; cekas
bentang ; bintang, bintang kukus, bintang berekor;bintang ;  ; 
bentar; disambar petir,;dibentar gelap ;  ; 
dibentar gelap ; disambar petir,;bentar ;  ; 
bentol ; bintit, bintul berwarna merah karena digigit nyamuk, serangga; ;  ; 
bere; beri;pasihan ; mere ; 
beregegeh ; sok gagah, merasa diri paling gagah; ;  ; 
berele; ngaberele, mengembik suara kambing; ;  ; 
beres ; beres, rapi;meresan ; rampung ; sering
berag ; gembira;bingah ; gerah ; gumbira
baal ; kebal;weduk ; bola ; 
baan ; bawa;bantun ; bawa ; ringkid
babacakan ; pesta; ;  ; 
babadon ; bubu; ;  ; 
babadotan ; sejenis tumbuhan kecil, bunganya putih, daunnya bau kambing jantan, biasanya dipergunakan sebagai ibat ouka ringan; ;  ; 
babahak ; ujung busur yang biasanya dipakai untuk mengikatkan tali busur bercabang dan dibuat dari tanduk; ;  ; 
babak ; lecet; ;  ; 
babakan ; daerah;wewengkon ;  ; 
babakaur ; kelabang; ;  ; 
babalen ; bepergian untuk berjual beli; ;  ; 
babancong ; bangunan kecil dipinggir alun- alun; ;  ; 
babang ; kabur;sureum ;  ; 
babar ; lahir;owo ; ngowo ; 
babaran ; penjelasan;atra ; bengras ; bentes
babari ; mudah;gampang ; gampil ; dangan
babarit ; selamatan tujuh bulan yang sedang hamil; ;  ; 
babatang ; mayat;mayit ;  ; 
babatok ; bkp tengkorak, tulang kepala; ;  ; 
babaturan ; teman;balad ; rencang ; rerencangan
babaung ; bunyi suara salak anjing yang melengking dan membuat bulu kuduk berdiri; ;  ; 
babay ; buang air besar mencret yang tak tertahan, bukan pada tempatnya; ;  ; 
babet ; banting; ;  ; 
babi ; babi;dadalan ; lantaran ; 
bablas ; sampai selesai;réngsé ; tutas ; 
babon ; bibit;binih ;  ; 
babuk ; pukul;teunggeul ;  ; 
babut ; mencabut bibit padi dari tempat persemaiain untuk ditanam di sawah; ;  ; 
bacacar ; berantakan;busak-basik ; baruntak ; bungbang
bacem ; membumbui ikan basah atau daging kemudian dibiarkan beberapa saat sebelum dimasak; ;  ; 
baceo ; tak terhentinya berbicara; ;  ; 
bacokak ; berbicara kotor; ;  ; 
bacreuk ; pemasangan bermacam macam makanan yang dijadikan hiasan di tempat kenduri; ;  ; 
badag ; besar;ageung ; gede ; ngreng
badal ; wakil yang dikuasakan; ;  ; 
badami ; berunding;barempug ; dami ; 
badan ; tubuh;raga ; salira ; 
badar ; ikan sungai; ;  ; 
badarat ; bepergian denan jalan kaki; ;  ; 
badaus ; bunga kaso; ;  ; 
badawang ; odek- ondel; ;  ; 
badaya ; wanita penari di kraton atau kabupaten, tariannyapun tarian khusus.; ;  ; 
bade ; mau;hayang ; hoyong ; kersa
badeg,ngabadeg ; sangatbanyak; ;  ; 
badega ; pelayan, pembantu;palayan ; bantos ; deudeul
badeur ; bandel, tidak bisa dilarang;basangkal. ; bedang ; bontongor
badi ; badik; ;  ; 
badigul ; badannya besar, tak pantas dan biasanya kepalanya ...; ;  ; 
badilang ; kurang cermas, kurang teliti,; ;  ; 
badingkut ; selimut dibuat dari kainâ­-kain sisa berwama warna; ;  ; 
badis ; mirip atau sama (baik rupa maupun kelakuannya); ;  ; 
badog ; pencuri, maling, bangsat;garong ; maling ; paling
badogol ; bagian dalam dari batang pisang; ;  ; 
badong ; pakaian wayang yg berupa sayap; ;  ; 
badori ; widuri; ;  ; 
badot ; kambing jantan; ;  ; 
badra ; bulan;bulan ; sasih ; 
badra erawan ; bulan terhalangi oleh awan; ;  ; 
badud ; badut, bodor, pelawak, tontonan yg diiringi musik ...;bodor ; cawerang ; 
badug; menggeâ­rak-gerakkan badanke samping supaya bebas;ngabadug ; babadug ; 
ngabadug; menggeâ­rak-gerakkan badanke samping supaya bebas;badug ; babadug ; 
babadug ; menggeâ­rak-gerakkan badanke samping supaya bebas;badug ; ngabadug ; 
bae; saja, biar saja, keun â­embungeun mah tong dipaksa....;wae ; we ; 
wae; saja, biar saja, keun â­embungeun mah tong dipaksa....;bae ; we ; 
we ; saja, biar saja, keun â­embungeun mah tong dipaksa....;bae ; wae ; 
bagean ; bagian;haturan ; palih ; sapalih
bagel ; keras;tarik ; teuas ; peureut
bagja ; bahagia;bungah ; resep ; senang
bagong ; babi hutan;bedul ; begu ; 
baham ; mulut;cangkem ; sungut ; 
bahasa kasar ; bahasa yg dipergunakan sesama kawan; ;  ; 
bahe ; tumpah;awer ; uwar-awer ; 
baheula ; dahulu;heubeul ; kapungkur ; bareto
baheum ; kulum; ;  ; 
bajing ; tupai; ;  ; 
bajoang ; berjuang;juang ;  ; 
bakal ; akan;adeuk ; arek ; rek
bal ; bola;nyandet ;  ; 
balad ; teman;babaturan ; rencang ; rerencangan
balanak ; belanak;belanak ;  ; 
balang ; lempar;alung ; baledog ; mengpar
balangsak ; melarat;moskel ; pakir ; 
baledog ; lempar;alung ; balang ; mengpar
baleg ; dewasa;sawawa ;  ; 
baleuy ; tidak terlalu panas; ;  ; 
balik ; pulang;mulih ; wangsul ; 
balik deui ; kembali;mulih ;  ; 
balong ; kolam;empang ; kulah ; 
balung ; tulang; ;  ; 
bancet ; katak berekor; ;  ; 
banget ; pisan; ;  ; 
bangga ; ribet;hese ; ribed ; 
bangir ; mancung;mancung ;  ; 
bangkawarah ; kurang ajar;cunihin ; cala-culu ; cucungah
bangke ; bankai;bangkai ;  ; 
bangkong ; katak; ;  ; 
bangkuang ; bengkuang;bengkuang ;  ; 
bango ; bangau;bangau ;  ; 
bantos ; bantu;badega ; deudeul ; ngadeudeul
bantun ; bawa;baan ; bawa ; ringkid
bared ; luka tergores (karena kena duri, kayu,jatuh dijalan, dsb;beletok ; kai ; bengeh
bareno ; n pohon kayu; ;  ; 
