Sunda;Terjemahan;Thesaurus 1;Thesaurus 2;Thesaurus 3
neja ; maksud;amrih ; maksad ; 
nembe ; baru saja;bieu ;  ; 
nembres ; jelas terlihat oleh umum; ;  ; 
nemprak ; menebarkan di atas tanah at air (daun teratai dsb); ;  ; 
nendeng ; menandingi; ;  ; 
nene ; nenek;nini ;  ; 
neneh ; tambahan karena sayang: ucen - dr husen, utang dr muhtar; ;  ; 
neneng ; n panggilan kpd anak perempuan dr golongan menengah; ;  ; 
nenggang ; berjauhan dng yg lain; ;  ; 
nenggel ; telak; ;  ; 
nengterewelang ; membantah terus-menerus dng ucapan; ;  ; 
nengtereweleng ; bandel;nogtrog ; badeur ; basangkal.
nengtet ; menyembul sedikit; ;  ; 
nenjo ; melihat;ningali ; bireungeuh ; deleh
nepong ; membonceng (tanpa membayar); ;  ; 
nerag ; kasar;garihal ; obrog ; 
nerekel ; panjat; ;  ; 
netra ; mata;panon ; soca ; celong
neut ; ka bangun (udang); ;  ; 
neuteuli ; dendam; ;  ; 
newo-newo ; mengganggu (yg bekerja): mun kolot keur digawe, ulah -, kalau orang tua sedang bekerja, (kau) jangan mengganggu; ;  ; 
ngabaâ­degakeun ; memperlakukan seperti pada, badegaa (pembantu); ;  ; 
ngabaekeun ; mengangâ­gap enteng; ;  ; 
ngabagel ; mengeras; ;  ; 
ngabaketrak ; teuas ngabaketrak, sangat keras; ;  ; 
ngabandaleut ; beriringan (panjang sekali); ;  ; 
ngabantun ; membawa;cicintrang ; baan ; bantun
ngabebegigan ; menakutâ·nakuti, mnghalang; ;  ; 
ngabebeskeun ; mencelakakan;cilaka ; keur bentang surem ; 
ngabeledug ; meledak sambil menimbulkan suara; ;  ; 
ngabelegedeg ; berdiri tinggi besar; ;  ; 
ngabogaan ; memiliki; ;  ; 
ngabolekerkeun ; membuka rahasia;bitur ;  ; 
ngaborogod ; membelenggu;barogod ; belok ; canggalak
ngabrangbrangkeun pikir ; berusaha menentramkan pikiran agar terlupa ~gala kesulitan dan kesusahan; ;  ; 
ngabrigbrig ; lari-lari anjing; ;  ; 
ngabubuhan ; berombongan (gajah, serigala, dsb);ajag ; bebeur ; bayabah. ngabayabah
ngabuburit ; jalan-jalan menunggu waktu sore, biasanya pd bulan puasa; ;  ; 
ngabudeg ; tidak berbicara, pura-pura bisu; ;  ; 
ngabuih ; bercakap terus tanpa berhenti; ;  ; 
ngabungbang; tidak tidur sernalam suntuk, di luar bangunan, biasanya di tempat yg di anggap keramat; ;  ; 
ngaburiai ; keluar dr dl tanah (air); ;  ; 
ngaburujul ; membajak tanah darat; ;  ; 
ngadalikeun ; mengendalikan; ;  ; 
ngadalingding ; tercium bau harum (agak lama terciumnya); ;  ; 
ngadangkal ; menyengaja (menyediakan waktu utk mengerjakan sesuatu); ;  ; 
ngadeg ; berdiri;nangtung ; tatih ; diri
ngadegdeg ; menggigil;gebreg ; ngahodhod ; 
ngadegkeun ; mendirikan; ;  ; 
ngadoni ; menceritakan kekesalan hati kpd orang lain yg kiranya dapat menghibur (at menolong); ;  ; 
ngaduakeun ; mendoakan; ;  ; 
ngadupak ; menyenggol; ;  ; 
ngaduruk ; membakar;beukah ; beuleum ; duruk
ngagaleong ; oleng; ;  ; 
ngagantikeun ; menggantikan; ;  ; 
ngageroan ; memanggil;nyambat ; nyangkir ; 
ngageuyeunggeung ; sakit terus-menerus; ;  ; 
ngagitek ; menari;ibing ; igel ; 
ngaharepkeun ; berharap;harep ; pambrih ; 
ngahodhod ; menggigil;gebreg ; ngadegdeg ; 
ngajangkari ; ada sisanya; ;  ; 
ngajleng ; melompat;aclog ; ajleng ; 
ngalaan ; melepaskan;bolonyon ; ngabolonyon ; mo
ngalagena ; mengandung vokal a pd suku kata: pa-ja-ja-ran-ga-la-ta-ma dst; ;  ; 
ngalalana ; berkelana; ;  ; 
ngalamuk ; tampak samar-samar di kejauhan spt gunung dsb; ;  ; 
ngalamun ; melamun; ;  ; 
ngalangkung ; lewat;ngulampreng ; bebes ; ngaliwatan
ngalanglang ; melanglang;langlang ;  ; 
ngalanteg ; tumbuh sangat banyak di satu tempat; ;  ; 
ngalempreh ; terbaring tanpa bergerak (orang yg sakit payah); ;  ; 
ngaleueut ; minum;arot ; eueut ; nginum
ngaley ; meleleh; ;  ; 
ngalindur ; mengigau;gundam ;  ; 
ngaliwatan ; melewati;bebes ; ngalangkung ; ngulampreng
ngampar ; berbenah untuk tidur; ;  ; 
ngan ; cuma;mung ;  ; 
ngangah ; terbuka (mulut); ;  ; 
nganggit ; mengubah lagu; ;  ; 
nganggut-manggut ; mengangguk tanda hormat; ;  ; 
ngangkarawak ; sobek besar; ;  ; 
ngangkaung ; menangis sambil meraung-raung; ;  ; 
ngangken ; menerima;nampi ;  ; 
ngangkerang ; mengundang;ngondang ; ogan ; ondang
ngangkrak ; suka bertengkar (anakanak); ;  ; 
ngangkrang ; berani memaki-maki suami; ;  ; 
ngangkruk ; tak makan karena sangat miskin; ;  ; 
ngangles ; menolak; ;  ; 
ngangluh ; murung;nguluwut ;  ; 
ngangres ; pilu; ;  ; 
ngangsed ; maju;majeng ;  ; 
ngangsel ; mengganjal; ;  ; 
ngangsitken ; mengerjakan dengan cepat; ;  ; 
nganjang ; bertamu;semah ; tamu ; tatamu
nganteubkeun ; menekankan; ;  ; 
nganteurkeun ; mengantarkan;anteur ;  ; 
nganti ; menunggu;nungguan ; dago ; ngadogoan
ngaos ; ngaji; ;  ; 
ngaraja dewek ; memerintah negara menllrut kehendak hatinya saja, sewenang-wenang; ;  ; 
ngaran ; nama;jenengan ; nam ; nami
ngarasa ; merasa;rumaos ; rumasa ; asa
ngarasa tiiseun ; kesepian; ;  ; 
ngaray ; menjemur padi; ;  ; 
ngareuah-reuah ; menyemarakan; ;  ; 
ngarogahala ; membunuh;maehan ; mateni ; 
ngaseuk ; menugal; ;  ; 
ngasupan ; memasuki; ;  ; 
ngati-ngati ; mengancam; ;  ; 
ngawahan ; mengambil ancang-ancang; ;  ; 
ngawitan ; mulai;asal ; kawit ; mimiti
ngebrak ; terang sekali; ;  ; 
ngeceblek ; berceloteh;ngerewih ; ngocoblok ; 
ngecrek ; hujan terus-menerus; ;  ; 
ngehkeh ; batuk terus-terusan;ngohkoh ;  ; 
ngelak ; berbunyi; ;  ; 
ngeledan ; mengalah sedikit; ;  ; 
ngeleketek ; menggelitik;eleketek ; leketek ; 
ngelel ; mengeluarkan iidah; ;  ; 
ngeleyed ; tampak pendiam padahal nakal; ;  ; 
ngelol ; kelihatan;tembong ; bireungeuh ; deleh
ngemploh ; rimbun (berdaun banyak); ;  ; 
ngempray ; ngebrak; ;  ; 
ngempur ; bercahaya; ;  ; 
ngenaan ; mengenai; ;  ; 
ngendat ; panjang serta lurus (garis at jalan); ;  ; 
ngendong ; menginap; ;  ; 
ngenes ; sakit hati; ;  ; 
ngengkreng ; suara at bunyi yg tinggi nadanya; ;  ; 
ngentab ; panas hati (karena marah); ;  ; 
ngepruy ; hujan yg spt abu halus yg terbawa angin; ;  ; 
ngeres ; terasa kasar (spt ada pasir, mis di atas tikar); ;  ; 
ngeret ; mengerip (spt tikus, bajing, dsb menggigit); ;  ; 
ngerewih ; berceloteh;ngeceblek ; ngocoblok ; 
ngetrek ; bekerja sedikit demi sedikit dan tekun; ;  ; 
ngetrik ; berjalan perlahan-lahan; ;  ; 
ngeunaan ; tentang; ;  ; 
ngeunah ; ngeunah; ;  ; 
ngeungkeuy ; ngaleut; ;  ; 
ngeuyeumbeu ; mengalir sangat lambat (air); ;  ; 
ngewa ; benci;ceuceub ; caria ; 
ngical ; menjual;gingsir ; ngagigsir ; ical
ngijih ; musim hujan; ;  ; 
ngimpleng ; mengingat;cantula ; nyantula ; emut
nginum ; minum;arot ; eueut ; ngaleueut
ngiras ; merangkap dua jabatan; ;  ; 
ngocoblok ; berceloteh;ngeceblek ; ngerewih ; 
ngocomang ; ngocoblok; ;  ; 
ngohkoh ; batuk terus-terusan;ngehkeh ;  ; 
ngohngor ; tonggos (tt gigi depan yg atas); ;  ; 
ngokok ; diam saja di rumah; ;  ; 
ngolembar ; muncul di atas air (ikan yg mabuk); ;  ; 
ngomboan at ngamboan ; berganti suara (laki-laki yg meningkat remaja); ;  ; 
ngomong ; bicara;nyarios ;  ; 
ngondang ; mengundang;ngangkerang ; ogan ; ondang
ngong ; ka utk mulai menyanyi: - tembang; ;  ; 
ngopepang ; segala diraba at dipegang (spt orang yg hanyut); ;  ; 
ngora ; muda;anom ; muda ; 
ngorobokan ; mendahului orang yg berhak; ;  ; 
ngorok ; spt mendengkur (orang yg sekarat); ;  ; 
ngorondang ; merangkap; ;  ; 
ngosom ; bercerita tak jelas karena mulutnya berisi makanan; ;  ; 
ngoyok ; mandi lama (di dl air); ;  ; 
ngreng ; besar, bagus;ageung ; badag ; gede
ngulampreng ; lewat;ngalangkung ; bebes ; ngaliwatan
ngulayaban ; mencari barang yg sangat dibutuhkan ke sana ke mari; ;  ; 
ngulet ; suka bangun siang; ;  ; 
nguluwut ; murung;ngangluh ;  ; 
ngumbara ; mengembara; ;  ; 
ngungun ; sedih;nalangsa ; tunggara ; beurat
nguyang ; mencari makanan (padi, beras, dsb) mis dibeli at dipinjam: usum -, musim paceklik;beas ; sacanggeum ; 
nguyung ; tidak gembira; ;  ; 
nikah ; kawin;dahup ; dabut ; didahut
nila ; biru tua; ;  ; 
nilar ; mati;palastra ; pupus ; 
nimu luang tina burang ; mendapat pengalaman krn pernah mendapat kecelakaan; ;  ; 
nincak ; injak;tincak ;  ; 
ningal ; lihat;bireungeuh ; deleh ; deuleu
ningali ; melihat;nenjo ; bireungeuh ; deleh
ninggalkeun ; meninggalkan;kojor ; paeh ; 
ningnang ; janggal;mahiwal ;  ; 
nini ; nenek;nene ;  ; 
nirca ; nista; ;  ; 
nisakara; semua;kabeh ; saniskara ; sadaya
saniskara ; semua;kabeh ; nisakara ; sadaya
nista ; hina;doip ; cacampah ; nyacampah
niti ; ilmu kenegaraan; ;  ; 
nogtrog ; bandel;nengtereweleng ; badeur ; basangkal.
nohonan ; memenuhi; ;  ; 
nokang ; medapat untung dr dua pihak; ;  ; 
nombro ; diserang penyakit sehingga tak berdaya; ;  ; 
nomor buncit ; nomor terakhir; ;  ; 
nonggerak ; tak terendam air at tertimbun tanah; ;  ; 
nonghol ; menjenguk;layad ; layat ; 
nongnong ; nonong; ;  ; 
nongton ; menonton;lalajo ;  ; 
nongtoreng ; sangat panas (hari); ;  ; 
nonob; tempat berkumpul orang-orang jahat;panonoban ;  ; 
panonoban ; tempat berkumpul orang-orang jahat;nonob ;  ; 
nonoman ; pemuda; ;  ; 
norostos ; lancar berbicara; ;  ; 
notog ; meluncur; ;  ; 
noyek ; penuh sesak; ;  ; 
noyod ; berjalan tanpa melihat ke kiri at ke kanan; ;  ; 
nu ; Yang;anu ;  ; 
nu mawi ; paling; ;  ; 
nugraha ; ganjaran;pahla ;  ; 
nuhun ; terima kasih; ;  ; 
nuju ; sedang;anco ; keur ; nedeng
nujuh bulan tingkep ; selamatan dan upacara hamil; ;  ; 
numpak ; menaiki; ;  ; 
numpi ; mengurung diri (tidak keluar dr rumah at kamar); ;  ; 
nundutan ; mengantuk; ;  ; 
nungguan ; menunggu;nganti ; dago ; ngadogoan
nurut buat; spt yg membuatnya; ;  ; 
nusud ; lari meninggalkan suami; ;  ; 
nya at enya ; betul;bener ;  ; 
nyaah ; sayang;deudeuh ; geugeut ; lebar
nyabak ; meraba;cabak ;  ; 
nyabok ; menampar; ;  ; 
nyacag ; mencincang;cacag ;  ; 
nyacaka ; membungkus diri menjadi kepompong; ;  ; 
nyacas ; tampak jelas;nyengcelak ;  ; 
nyacat ; berjalan kaki; ;  ; 
nyadar ; menyadari; ;  ; 
nyaeta ; ialah; ;  ; 
nyaho ; tahu;nyana ;  ; 
nyakclak ; titik air; ;  ; 
nyakclak; menetes;ngeclak ;  ; 
ngeclak ; menetes;nyakclak ;  ; 
nyaksian ; menyaksikan;nyaksikeun ; nyiksenan ; 
nyaksikeun ; menyaksikan;nyaksian ; nyiksenan ; 
nyalingit ; sakit perut; ;  ; 
nyalisib ; mengenai sasaran tapi tidak telak; ;  ; 
nyalukan ; panggil;angkir ; gero ; 
nyambat ; memanggil;ngageroan ; nyangkir ; 
nyambirat ; muncrat; ;  ; 
nyambuang ; menguap lalu baunya menyebar ke mana-mana; ;  ; 
nyamos ; melesat; ;  ; 
nyamu at sipat nyamu ; barang-barang tekstil; ;  ; 
nyamur ; menyamar; ;  ; 
nyana ; tahu;nyaho ;  ; 
nyanda ; bersandar kpd tumpukan bantal sambil menjulurkan kedua kaki; ;  ; 
nyandet ; menahan (nafsu, bola, dsb);bal ; bebeur ; bayabah. ngabayabah
nyaneut ; minum air hangat (teh. kopi), biasanya ada kuenya; ;  ; 
nyangangang ; membentak, berkata keras;cangangang ;  ; 
nyangcang ; menambatkan, mengikat;beungkeut ; cangcang ; cangreud
nyanggakeun beuheung teuk ; pasrah, menyerah; ;  ; 
nyangking ; memegang, mengambil;ala ; ngala ; candak
nyangkir ; memanggil;ngageroan ; nyambat ; 
nyangkol ; menyangkut; ;  ; 
nyangkolong ; mengurangi (bilangan); ;  ; 
nyangkrung ; menggenang; ;  ; 
nyangsang ; tersangkut;cangkol ;  ; 
nyantei ; terpikat, teringat saja, terkenang selalu; ;  ; 
nyantong ; ada di hadapan; ;  ; 
nyanyautan ; terasa berdenyut karena nyeri; ;  ; 
nyapek ; mengunyah;beuweung ; meuweung ; 
nyarek ; melarang;caram larang ; nyaram ; pagak
nyarekan ; memarahi, memaki-maki; ;  ; 
nyaring ; bangun dr tidur tapi belum bangkit (jaga); ;  ; 
nyarios ; bicara;ngomong ;  ; 
nyaritakeun ; bercerita;gelendut ; carios ; carita
nyatu ; bk makan; ;  ; 
nyednyedan ; terasa spt ada yg menarik-narik (mis pancing yg dimakan ikan); ;  ; 
nyeh ; ka utk tertawa at tersenyum: - imut; ;  ; 
nyemplong ; dikatakan kpd pantat yg menungging; ;  ; 
nyemplu ; dikatakan kpd perut yg menonjol; ;  ; 
nyempod ; bersembunyi di sudut karena takut; ;  ; 
nyengcelak ; tampak jelas;nyacas ;  ; 
nyengceling ; hanya seorang diri at hanya seekor binatang at hanya satu benda yg tampak di tempat yg luas; ;  ; 
nyengceregeng ; dikatakan kpd kemaluan laki-laki yg kaku at tegang; ;  ; 
nyengka ; berbuih serta menjadi banyak (air gula aren yg sedang bergolak); ;  ; 
nyengsreng ; ka utk saheng (suara air yg mulai mendidih); ;  ; 
nyentreu ; menonjol sedikit (payudara anak gadis); ;  ; 
nyentug ; menyentuh; ;  ; 
nyenyep ; bulu panah yg bercagak kecil yg dikenakan kpd tali busur; ;  ; 
nyere ; lidi; ;  ; 
nyeri ; sakit;gering ; teu damang ; udur
nyeuneu ; berapi-api; ;  ; 
nyeungceum ; menyimpan ikan pada air bersih sebleum disebarkan kembali atau sebelum dibersihkan untuk dimasak; ;  ; 
nyeungseung ; menonjol (payudara yg mulai tumbuh); ;  ; 
nyeureud ; menyengat; ;  ; 
nyeuseuh ; mencuci baju; ;  ; 
nyieun ; membuat;matak ; midamel ; ajang
nyiiiwuri ; bercampur dng orang banyak dng maksud jahat; ;  ; 
nyiksenan ; menyaksikan;nyaksian ; nyaksikeun ; 
nyimbeuh ; membasuh; ;  ; 
nyiru ; niru; ;  ; 
nyiruan ; lebah; ;  ; 
nyiwit ; cubit;ciwit ;  ; 
nyobaan ; mencoba;mecakan ; cobi ; dodoja
nyolowedor ; menyeleweng, tidak setia (istri kpd suami at sebaliknya); ;  ; 
nyongkab ; sangat panas (badan yang sakit at tanah yang terbakar matahari); ;  ; 
nyongsrong ; sangat ingin; ;  ; 
nyorokcok ; mematuk-matuk makanan dng cepat (ayam at burung yg lapar); ;  ; 
nyoso ; amat;naker ;  ; 
nyot ; ka utk mulai merokok: - udud, mulai merokok; ;  ; 
nyumput ; sembunyi; ;  ; 
nyungkelit ; sakit hati karena dihina; ;  ; 
nyuruput ; meminum; ;  ; 
nyuuh ; bersujud (karena merasa sakit at sangat sedih) biasanya sambil menangis; ;  ; 
o ; ka utk muntah: - utah at orolo utah; ;  ; 
oa ; sj kera, bulunya abu-abu, perutnya hitam; ;  ; 
oah ; jagoan; ;  ; 
obah ; gerak sedikit; ;  ; 
obat ; mesiu (bahan peledak); ;  ; 
obor ; suluh; ;  ; 
obos ; letnan kolonel; ;  ; 
obrog ; kasar;garihal ; nerag ; 
obrot ; kejar;berik ; udag ; ramo
obroy ; bergemerlapan, menyala (perhiasan yg dipakai wanita);gurilap ;  ; 
obyag ; lumrah; ;  ; 
ocal; mencoba-coba;ngocal-ngocal ;  ; 
ngocal-ngocal ; mencoba-coba;ocal ;  ; 
oces ; kera;kunyuk ; mo-nyet ; 
ocon ; bercanda; ;  ; 
odeng ; tawon hutan, lebih besar dr tawon biasa; ;  ; 
odoh ; jorok;cobrok ;  ; 
o'e ; ka utk suara kerbau; ;  ; 
oer ; lembaran dr jantung (pisang); ;  ; 
oet-oet ; n sj uir-uir (yg biasa bersuara menjelang magrib); ;  ; 
ogan ; undang;ondang ; ulem ; ngangkerang
oge ; juga;kalih ;  ; 
ogel ; reog; ;  ; 
ogo ; manja;diogo ;  ; 
ogo; dimanja;diogo ;  ; 
diogo ; dimanja;ogo ;  ; 
ohek ; ka utk mendahak; ;  ; 
ojah at hojah ; alasan at daya upaya; ;  ; 
olab ; muntah karena terlalu banyak menyusu (bayi); ;  ; 
olah; mengerjakan (sawah, kebun);ngolah ;  ; 
ngolah ; mengerjakan (sawah, kebun);olah ;  ; 
ole-olean ; terompet-terompetan dr jerami; ;  ; 
olo; merayu dan memuji-muji agar bersedia berbuat sesuatu;ngolo ;  ; 
ngolo ; merayu dan memuji-muji agar bersedia berbuat sesuatu;olo ;  ; 
olohok ; bengong; ;  ; 
olok ; kebanyakan; ;  ; 
olol; hidung selalu berlendir: budak - , anak kecil;olol leho ; murangkalih ; murngkalih
olol leho ; hidung selalu berlendir: budak - , anak kecil;olol ; murangkalih ; murngkalih
olo-olo ; kolokan; ;  ; 
omat ; wanti-wanti; ;  ; 
ombak ; gelombang; ;  ; 
omber ; kesempatan at waktu; ;  ; 
ome; memelihara;ngome ; mumule ; ngamumule
ngome ; memelihara;ome ; mumule ; ngamumule
onam; at kumaonam hal at perkara yg tak diinginkan: ulah indit ti peuting bisi kumaonam, jangan pergi malam-malam, jangan-jangan mendapat kecelakaan;kumaha oman ; palangsiang ; 
kumaha oman ; at kumaonam hal at perkara yg tak diinginkan: ulah indit ti peuting bisi kumaonam, jangan pergi malam-malam, jangan-jangan mendapat kecelakaan;onam ; palangsiang ; 
oncor ; ohor; ;  ; 
ondang ; undang;ogan ; ulem ; ngangkerang
ondangan ; undangan;ngangkerang ; ngondang ; ogan
oneng at honeng ; kangen; ;  ; 
onggeng-onggengan ; menungging beberapa kali; ;  ; 
ongget-ongget ; diongget-ongget, digerak-gerakkan supaya longgar (tiang yg dipancang di dl tanah): teu bisa ~, tak dapat diganggugugat; ;  ; 
onggok ; ampas ketela; ;  ; 
ongkek ; muntah; ;  ; 
ongkiang; ditambah waktu lagi (dr yg telah ditetapkan);diongklangan ;  ; 
diongklangan ; ditambah waktu lagi (dr yg telah ditetapkan);ongkiang ;  ; 
ongkled ; tunas pohon nanas; ;  ; 
ongko; at oongkoan membungkuk-bungkuk spt ada yg dicari ada yg diintai;ongko-ongkoan ;  ; 
ongko-ongkoan ; at oongkoan membungkuk-bungkuk spt ada yg dicari ada yg diintai;ongko ;  ; 
ongkoh ; katanya;carek ; basana ; ceuk
ongkos ; tarip; ;  ; 
onjoy ; lebih;langkung ; leuwih ; 
onta ; unta; ;  ; 
ontohod ; beruang;artos ; dicagerana ; duit
ontong ; jangan: - indit ayeuna , jangan pergi sekarang; ;  ; 
ontrog; mendatangi seseorang utk mencaci maki;ngontrog ;  ; 
ngontrog ; mendatangi seseorang utk mencaci maki;ontrog ;  ; 
opak ; n sj makanan dr ketan; ;  ; 
opat ; empat; ;  ; 
open; usil;openan ;  ; 
openan ; usil;open ;  ; 
orat ; aurat; ;  ; 
oray ; ular;bungka ;  ; 
orek; memperbesar;ngorek ; ageung ; badag
ngorek ; memperbesar;orek ; ageung ; badag
orog ; sj makanan, dibuat dr tepung terigu atau tepung gaplek tanpa gula; ;  ; 
orok ; bayi; ;  ; 
orokanya ; hanya saja; ;  ; 
orowodol ; gegabah;cobrok ;  ; 
osok; suka;sok ; resep ; seneng
sok ; suka;osok ; resep ; seneng
osol; membujuk agar melakukan sesuatu keburukan atau kejahatan;ngosol-ngosol ;  ; 
ngosol-ngosol ; membujuk agar melakukan sesuatu keburukan atau kejahatan;osol ;  ; 
otet ; kutu kepala; ;  ; 
otong ; panggilan kpd anak luki-laki, mis sep, ujang, buyung, ucok; ;  ; 
owah ; gila;gelo ; palung ; burung
owel ; merasa sayang utk memberikan sesuatu yg tak berharga kpd orang lain; ;  ; 
ower; berjumbai;ngower ;  ; 
ngower ; berjumbai;ower ;  ; 
owo; melahirkan;ngowo ; babar ; 
ngowo ; melahirkan;owo ; babar ; 
oyag ; bergerak (daun yg tertiup angin); ;  ; 
oyek ; sj makanan dr gaplek, dimasak spt menanak nasi; ;  ; 
oyos; menyiangi tanaman di sawah atau di kebun dng membuang rumput-rumputnya;ngoyos ;  ; 
ngoyos ; menyiangi tanaman di sawah atau di kebun dng membuang rumput-rumputnya;oyos ;  ; 
pabaliut ; kacau; ;  ; 
pabarencay; bubar dng tak teratur, mis orang-orang yg sedang berjudi digerebek polisi;paburencay ;  ; 
paburencay ; bubar dng tak teratur, mis orang-orang yg sedang berjudi digerebek polisi;pabarencay ;  ; 
pabeasan; tempat menyimpan beras;pendaringan ; padaringan ; 
pendaringan ; tempat menyimpan beras;pabeasan ; padaringan ; 
pabeja-beja ; kabar at berita yg disampaiâ­kan secara berantai dr mulut ke mulut; ;  ; 
pabentar ; berselisih, bersilang pendapat:;pakucrut ;  ; 
pabetekan ; tempat penyimpanan rempah-rempah, dibuat dr kayu di kotak-kotak; ;  ; 
paburisat ; bubar sambil berlari-lari; ;  ; 
pacabakan ; pekerjaan; ;  ; 
pacek; bersetubuh;macek ;  ; 
macek ; bersetubuh;pacek ;  ; 
pacer ; kakinya kecil (orang at hewan); ;  ; 
pacikeuh; ditipu;dipacikeuh ; belejog ; 
dipacikeuh ; ditipu;pacikeuh ; belejog ; 
pacikrak ; sj burung kecil; ;  ; 
pacilingan ; wc di atas kolam; ;  ; 
pacing ; n sj tumbuh-tumbuhan; ;  ; 
paciweuh ; ribut sambil banyak bicara; ;  ; 
pacogregan ; pertengkaran;cental ; pacental-cental ; pasea
pacok ; patuk; ;  ; 
pacuan papacuan ; ucapan unt memberi peringatan: - kudu balik poe ieu keneh awas, harus pulang pd hari ini juga; ;  ; 
pacul ; cangkul; ;  ; 
pacundang ; tidak terpakai lagi; ;  ; 
pada ; kuplet, bait terdiri dr beberapa baris: sa - kinanti diwangun ku 6 padalisan, satu kuplet kinanti terdiri atas 6 baris; ;  ; 
padaharan ; perut;beuteung ; patuangan ; dahar
padahu-dahu ; dikatakan kpd dua pasang kakak-beradik yg menikah secara bersilang; ;  ; 
padalisan ; satu baris dr kuplet; ;  ; 
padamayan; pd saat itu juga: ditampik -, ditolak pd saat itu juga (yg melamar);sapadamayan ;  ; 
sapadamayan ; pd saat itu juga: ditampik -, ditolak pd saat itu juga (yg melamar);padamayan ;  ; 
padan; seimbang;matang ; sapadan ; 
sapadan ; seimbang;matang ; padan ; 
padang ; terang;caang ; cekas ; bitotoma
padangkrang-pedengkreng ; petantang-petenteng; ;  ; 
padaringan ; tempat menyimpan beras;pabeasan ; pendaringan ; 
padati ; pedati; ;  ; 
padet ; padat; ;  ; 
padika ; metode;metodeu ;  ; 
padmi ; permaisuri; ;  ; 
padoman ; pedoman; ;  ; 
padu ; memperebutkan kebenaran 2 tidak sungguh-sungguh; ;  ; 
padud; pipa cangklong (bukan pipa sigaret);paduan ;  ; 
paduan ; pipa cangklong (bukan pipa sigaret);padud ;  ; 
paduk; tersenggol;kapaduk ;  ; 
kapaduk ; tersenggol;paduk ;  ; 
paduli ; bk peduli; ;  ; 
padung ; kayu penutup liang lahat; ;  ; 
padungdengan ; bertengkar secara lisan memperebutkan kebenaran; ;  ; 
padungdung ; percepatan irama gendang pd tari pencak; ;  ; 
paduraksa ; pintu pagar; ;  ; 
paeh ; meninggal;kojor ; ninggalkeun ; 
paesan ; ; ;  ; 
pagah; diberi nasihat atau diberi ilmu;dipagahan ;  ; 
dipagahan ; diberi nasihat atau diberi ilmu;pagah ;  ; 
pagak; melarang;caram larang ; nyaram ; nyarek
magak ; melarang;caram larang ; nyaram ; nyarek
pagaliwota ; pabaliut; ;  ; 
pagebug ; wabah; ;  ; 
pager ; pagar;palengpeng ;  ; 
pageto ; besok lusa; ;  ; 
pageuh ; sukar utk dilepas atau dicoput; ;  ; 
pagilinggisik ; sering beradu atau bersinggungan, mis di pasar antara orang-orang yg berbelanja; ;  ; 
pago ; sj rak tempat menyimpan barang-barang keperluan dapur; ;  ; 
pagut; menyangkut: baju - kana pager, baju menyangkut pd pagar;magut ; tipagut ; 
magut; menyangkut: baju - kana pager, baju menyangkut pd pagar;pagut ; tipagut ; 
tipagut ; menyangkut: baju - kana pager, baju menyangkut pd pagar;pagut ; magut ; 
pahala; menyiksa;mahala ;  ; 
mahala ; menyiksa;pahala ;  ; 
pahang ; bau tak sedap spt bau daun sirsak; ;  ; 
pahareup-hareup ; berhadapan; ;  ; 
pahatu ; piatu; ;  ; 
pahatu lalis ; Yatim piatu; ;  ; 
paheut ; janji: geus -, sudah berjanji dan tak dapat diubah lagi; ;  ; 
pahing; dilarang;dipahing ; cantula ; nyantula
dipahing ; dilarang;pahing ; cantula ; nyantula
pahinum ; -n sj masakan khas untuk selamatan 40 hari umur bayi; ;  ; 
pahiwal; aneh;aheng ; abeng ; 
pahla ; ganjaran;nugraha ;  ; 
pahok ; buta;lolong ;  ; 
pahpal; mahpral, mahpral, menjambret (rumput. daun-daunan): kuda keur - jukut nu masih hejo keneh, kuda sedang menjambret rumput yang masih hijau;pahpral ;  ; 
pahpral ; mahpral, mahpral, menjambret (rumput. daun-daunan): kuda keur - jukut nu masih hejo keneh, kuda sedang menjambret rumput yang masih hijau;pahpal ;  ; 
pahugi; memberi sesuatu kpd kekasih (laki-laki kpd perempuan);mahugi ;  ; 
mahugi ; memberi sesuatu kpd kekasih (laki-laki kpd perempuan);pahugi ;  ; 
pahul ; bagian busur; ;  ; 
pahung; biung;kapahung ;  ; 
kapahung ; biung;pahung ;  ; 
paido. maido ; menyalahkan pekerjaan orang lain yg telah dikerjakan dng sungguh-sungguh; ;  ; 
paila ; paceklik; ;  ; 
paingan ; ueapan yg menyatakan bahwa orang akhirnya mengerti; ;  ; 
pair; menyeduh;mairan ;  ; 
mairan ; menyeduh;pair ;  ; 
pais ; pepes: - lauk emas, pepes ikan mas; ;  ; 
pait ; pahit; ;  ; 
pajaratan ; kuburan;astana ;  ; 
pajeg ; pajak; ;  ; 
pajeng i ; payung;binong ;  ; 
pajeng ii ; laku; ;  ; 
pajodogan; sapadamayan;sapajodogan ;  ; 
sapajodogan ; sapadamayan;pajodogan ;  ; 
pajorewat ; berebut;gorenyang ; pagorenyang ; 
pajuaran ; tempat tidur; ;  ; 
pajurawet ; kusut;beulit ; busik ; 
pakacar ; pesuruh pd waktu pesta, kenduri, dsb;bengeh ; bared ; barera
pakakas ; perkakas; ;  ; 
pakan ; pakan; ;  ; 
pakanci ; libur (utk sekolah); ;  ; 
pakang ; serat pohon enau (ijuk yg masih muda); ;  ; 
